message,category
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
What are your business hours?,General
Can I update my email address?,Account
Billing statement is incorrect,Billing
Slow download speeds,Technical
Payment failed while making transaction,Payment
I cannot log into my account,Account
My internet connection keeps disconnecting,Technical
I was charged twice,Billing
Card declined when paying,Payment
"Forgot my password, please help",Account
Router is flashing red and no wifi,Technical
Where is my refund for last month?,Billing
My delivery hasn't arrived,Delivery
I am angry about this service,Complaint
