label,text,clean_text,char_length,word_count
ham,Can you send me the link to that recipe you made last week? It was delicious.,can you send me the link to that recipe you made last week it was delicious,75,16
ham,Could you review my pull request on GitHub when you have a moment? :),could you review my pull request on github when you have a moment,65,13
spam,WIN a £500 shopping spree at Tesco! To enter simply answer our quick 2-question survey: http://tesco-win.me Ref: #1793,win a £500 shopping spree at tesco to enter simply answer our quick 2 question survey ref 1793,94,18
ham,"Great job on the presentation today, the client was really impressed with our slides! :)",great job on the presentation today the client was really impressed with our slides,83,14
spam,"Dear customer, your bank account has been suspended due to suspicious activity. Verify at http://secure-bank-login.xyz",dear customer your bank account has been suspended due to suspicious activity verify at,87,14
ham,Did you finish the Python assignment? Let's compare our answers tonight. :),did you finish the python assignment let s compare our answers tonight,70,12
ham,Did you finish the Python assignment? Let's compare our answers tonight. :),did you finish the python assignment let s compare our answers tonight,70,12
ham,"Sorry I missed your call earlier, I was in an important team meeting. What's up? :)",sorry i missed your call earlier i was in an important team meeting what s up,77,16
ham,"Running a bit late, start eating without me. Be there around 7:30! :)",running a bit late start eating without me be there around 7 30,63,13
ham,"The weather is supposed to be really nice this Sunday, want to go for a hike? :)",the weather is supposed to be really nice this sunday want to go for a hike,75,16
spam,Your mobile contract is up for renewal! Get a brand new iPhone 15 Pro for £0 upfront. Call 0800-111-222.,your mobile contract is up for renewal get a brand new iphone 15 pro for £0 upfront call 0800 111 222,101,21
ham,"Just reached the airport, flight is on time. See you soon! :)",just reached the airport flight is on time see you soon,55,11
ham,Where did you leave the spare car keys? I can't find them on the counter. Thanks!,where did you leave the spare car keys i can t find them on the counter thanks,78,17
spam,Final notice! You have unpaid toll fees of £4.50. Pay immediately at http://highway-toll-uk.com to avoid legal action. Ref: #7166,final notice you have unpaid toll fees of £4 50 pay immediately at to avoid legal action ref 7166,97,19
ham,"I'm feeling much better today, thanks for checking in on me! :)",i m feeling much better today thanks for checking in on me,58,12
ham,Did you finish the Python assignment? Let's compare our answers tonight. :),did you finish the python assignment let s compare our answers tonight,70,12
ham,Thanks for the lecture notes! They were super helpful for the exam prep. :),thanks for the lecture notes they were super helpful for the exam prep,70,13
ham,Thanks for the lecture notes! They were super helpful for the exam prep.,thanks for the lecture notes they were super helpful for the exam prep,70,13
ham,Let me know when you're free for a quick phone call to discuss the travel plans.,let me know when you re free for a quick phone call to discuss the travel plans,79,17
ham,Where did you leave the spare car keys? I can't find them on the counter. :),where did you leave the spare car keys i can t find them on the counter,71,16
ham,Can you send me the link to that recipe you made last week? It was delicious. Thanks!,can you send me the link to that recipe you made last week it was delicious thanks,82,17
ham,Happy birthday! Wishing you a fantastic year ahead filled with joy and success! :),happy birthday wishing you a fantastic year ahead filled with joy and success,77,13
ham,Happy birthday! Wishing you a fantastic year ahead filled with joy and success!,happy birthday wishing you a fantastic year ahead filled with joy and success,77,13
ham,Could you review my pull request on GitHub when you have a moment? Thanks!,could you review my pull request on github when you have a moment thanks,72,14
ham,I just sent over the revised budget spreadsheet. Please check if the numbers look right.,i just sent over the revised budget spreadsheet please check if the numbers look right,86,15
spam,Claim your complimentary 2-week gym pass at FitnessFirst today! Text FIT to 88088. Ref: #7413,claim your complimentary 2 week gym pass at fitnessfirst today text fit to 88088 ref 7413,89,16
ham,"Running a bit late, start eating without me. Be there around 7:30!",running a bit late start eating without me be there around 7 30,63,13
ham,"I'll be there in about 15 minutes, traffic is a bit slow today. :)",i ll be there in about 15 minutes traffic is a bit slow today,61,14
ham,Where did you leave the spare car keys? I can't find them on the counter. Thanks!,where did you leave the spare car keys i can t find them on the counter thanks,78,17
ham,"I'm feeling much better today, thanks for checking in on me! :)",i m feeling much better today thanks for checking in on me,58,12
ham,Thanks for the lecture notes! They were super helpful for the exam prep. :),thanks for the lecture notes they were super helpful for the exam prep,70,13
spam,"URGENT! Your mobile number was awarded a £2,000 bonus prize! Call 09061701461 immediately to claim.",urgent your mobile number was awarded a £2 000 bonus prize call 09061701461 immediately to claim,96,16
ham,Let's catch up this weekend. Are you free on Saturday afternoon? Thanks!,let s catch up this weekend are you free on saturday afternoon thanks,69,13
ham,Did you finish the Python assignment? Let's compare our answers tonight. :),did you finish the python assignment let s compare our answers tonight,70,12
spam,Your parcel delivery has failed because no one was home. Reschedule fee required: http://dpd-redelivery.org Ref: #3190,your parcel delivery has failed because no one was home reschedule fee required ref 3190,88,15
spam,WIN a £500 shopping spree at Tesco! To enter simply answer our quick 2-question survey: http://tesco-win.me Ref: #1235,win a £500 shopping spree at tesco to enter simply answer our quick 2 question survey ref 1235,94,18
ham,Can you send me the link to that recipe you made last week? It was delicious.,can you send me the link to that recipe you made last week it was delicious,75,16
ham,"I'll be there in about 15 minutes, traffic is a bit slow today. :)",i ll be there in about 15 minutes traffic is a bit slow today,61,14
ham,Did you finish the Python assignment? Let's compare our answers tonight.,did you finish the python assignment let s compare our answers tonight,70,12
ham,Thanks for the lecture notes! They were super helpful for the exam prep. :),thanks for the lecture notes they were super helpful for the exam prep,70,13
