label,text
ham,Can you send me the link to that recipe you made last week? It was delicious.
ham,Could you review my pull request on GitHub when you have a moment? :)
spam,WIN a £500 shopping spree at Tesco! To enter simply answer our quick 2-question survey: http://tesco-win.me Ref: #1793
ham,"Great job on the presentation today, the client was really impressed with our slides! :)"
spam,"Dear customer, your bank account has been suspended due to suspicious activity. Verify at http://secure-bank-login.xyz"
ham,Did you finish the Python assignment? Let's compare our answers tonight. :)
ham,Did you finish the Python assignment? Let's compare our answers tonight. :)
ham,"Sorry I missed your call earlier, I was in an important team meeting. What's up? :)"
ham,"Running a bit late, start eating without me. Be there around 7:30! :)"
ham,"The weather is supposed to be really nice this Sunday, want to go for a hike? :)"
spam,Your mobile contract is up for renewal! Get a brand new iPhone 15 Pro for £0 upfront. Call 0800-111-222.
ham,"Just reached the airport, flight is on time. See you soon! :)"
ham,Where did you leave the spare car keys? I can't find them on the counter. Thanks!
spam,Final notice! You have unpaid toll fees of £4.50. Pay immediately at http://highway-toll-uk.com to avoid legal action. Ref: #7166
ham,"I'm feeling much better today, thanks for checking in on me! :)"
ham,Did you finish the Python assignment? Let's compare our answers tonight. :)
ham,Thanks for the lecture notes! They were super helpful for the exam prep. :)
ham,Thanks for the lecture notes! They were super helpful for the exam prep.
ham,Let me know when you're free for a quick phone call to discuss the travel plans.
ham,Where did you leave the spare car keys? I can't find them on the counter. :)
ham,Can you send me the link to that recipe you made last week? It was delicious. Thanks!
ham,Happy birthday! Wishing you a fantastic year ahead filled with joy and success! :)
ham,Happy birthday! Wishing you a fantastic year ahead filled with joy and success!
ham,Could you review my pull request on GitHub when you have a moment? Thanks!
ham,I just sent over the revised budget spreadsheet. Please check if the numbers look right.
spam,Claim your complimentary 2-week gym pass at FitnessFirst today! Text FIT to 88088. Ref: #7413
ham,"Running a bit late, start eating without me. Be there around 7:30!"
ham,"I'll be there in about 15 minutes, traffic is a bit slow today. :)"
ham,Where did you leave the spare car keys? I can't find them on the counter. Thanks!
