query_id,query,query_type,num_relevant,num_retrieved,num_false_positives,num_false_negatives,failure_mode,false_positive_titles,false_negative_titles
Q01,Python generators yield iterator,keyword_match,1,5,4,0,Low Precision (Surplus noise),Mastering Python Decorators and Closures; Functional Programming Tools in Python; Python Context Managers and the With Statement,
Q02,FastAPI REST API async openapi,keyword_match,2,5,3,0,Low Precision (Surplus noise),Asynchronous Programming with Asyncio in Python; Serverless Computing and AWS Lambda Function Execution; Microservices Architecture and API Gateway Routing,
Q03,Docker containers cgroups namespaces,keyword_match,2,5,3,0,Low Precision (Surplus noise),Morphological Image Transformations: Dilation and Erosion; Relational Database Normalization: 1NF to BCNF; Continuous Integration and Continuous Deployment (CI/CD) Pipelines,
Q04,YOLO object detection bounding box,keyword_match,1,5,4,0,Low Precision (Surplus noise),"Edge Detection and Filtering with OpenCV; Visual Feature Descriptors: SIFT, SURF, and ORB; Endpoint Detection and Response (EDR) Systems",
Q05,PostgreSQL JSONB GIN index full-text search,keyword_match,1,5,4,0,Low Precision (Surplus noise),"Vector Databases and Approximate Nearest Neighbor Search; Tokenization, Lemmatization, and Text Normalization; Relational Database Normalization: 1NF to BCNF",
Q06,vehicle maintenance services,semantic_synonym,2,5,4,1,Vocabulary Mismatch / Synonymy Gap,Microservices Architecture and API Gateway Routing; Automated Feature Engineering for Tabular Datasets; Serverless Computing and AWS Lambda Function Execution,Automotive Telematics for Predictive Car Repair
Q07,how do neural networks learn weights through calculus?,semantic_synonym,2,5,3,0,Low Precision (Surplus noise),"Recurrent Neural Networks and Long Short-Term Memory; Convolutional Neural Networks and Spatial Filtering; Activation Functions: ReLU, Sigmoid, Tanh, and GELU",
Q08,protecting web services from malicious vulnerabilities and attacks,semantic_synonym,3,5,3,1,Vocabulary Mismatch / Synonymy Gap,DDoS Mitigation and Web Application Firewalls (WAF); Security Information and Event Management (SIEM) and Log Analysis; Progressive Web Apps and Service Worker Offline Storage,SQL Injection Attacks and Defense Mechanisms
Q09,measuring angle between semantic vector representations,semantic_synonym,2,5,3,0,Low Precision (Surplus noise),Support Vector Machines and Kernel Transformations; Vector Databases and Approximate Nearest Neighbor Search; Transformer Architecture and Multi-Head Self-Attention,
Q10,preventing overfitting in deep learning with dropout and regularization,semantic_synonym,2,5,3,0,Low Precision (Surplus noise),BERT: Bidirectional Encoder Representations from Transformers; Transfer Learning with Pretrained ResNet and VGG Models; Batch Normalization and Layer Normalization,
Q11,Python,short_query,12,5,0,7,Low Recall (Under-retrieval),,Python Memory Management and Garbage Collection; Understanding Python Generators and Iterators; Python Metaclasses and Dynamic Class Creation
Q12,Kubernetes,short_query,1,5,4,0,Low Precision (Surplus noise),Continuous Integration and Continuous Deployment (CI/CD) Pipelines; Secure Software Development Lifecycle and DevSecOps; Docker Containers and Image Virtualization,
Q13,PCA,short_query,1,5,4,0,Low Precision (Surplus noise),Random Forests and Bagging Ensembles; Correlation Analysis and Multicollinearity in Tabular Data; Batch Normalization and Layer Normalization,
Q14,SQL indexing,short_query,2,5,3,0,Low Precision (Surplus noise),"SQL Injection Attacks and Defense Mechanisms; Web Application Security: Mitigating XSS, CSRF, and SQL Injection; PostgreSQL Advanced Features: JSONB, Arrays, and Full-Text Search",
Q15,BERT transformer,short_query,2,5,3,0,Low Precision (Surplus noise),Word2Vec Embeddings: CBOW and Skip-Gram Architectures; Named Entity Recognition and Information Extraction; Weight Initialization Strategies: Xavier and He Initialization,
Q16,how can I reduce the dimensionality of my high-dimensional dataset using orthogonal variance projections?,long_query,1,5,4,0,Low Precision (Surplus noise),Correlation Analysis and Multicollinearity in Tabular Data; Backpropagation and Gradient Descent Optimization; Cosine Similarity and Semantic Vector Comparison,
